Year,Global_Semiconductor_Revenue,AI_Chip_Revenue,Consumer_Electronics_Demand,Automotive_Chip_Demand,Chip_Price_Index,Market_Growth_Rate
1990,21160464715.988113,0.0,10126711642.624905,1058023235.7994057,100.0,0.0
1991,27954099338.919785,0.0,13716049789.902632,1397704966.9459894,102.0,32.10531864075101
1992,21752245313.588696,0.0,10371365228.62582,1087612265.6794348,104.03999999999999,-22.185848129602963
1993,44253614897.091095,0.0,17536530388.94137,2212680744.8545547,106.12080000000002,103.44389399399483
1994,27748857381.324203,0.0,8342579330.028333,1387442869.0662103,108.243216,-37.29584024750889
1995,33756833353.58222,0.0,11620024194.032892,1687841667.679111,110.40808032,21.651255364127387
1996,41672189003.57219,0.0,15521348014.31011,2083609450.1786096,112.61624192640001,23.448158087227714
1997,43695855616.15859,0.0,16702972463.956968,2184792780.8079295,114.868566764928,4.856156254265721
1998,41602289575.26455,0.0,17353280141.353706,2080114478.7632275,117.16593810022657,-4.791223358308263
1999,50793286909.30681,0.0,25210544641.172047,2539664345.4653406,119.50925686223111,22.09252766584978
2000,48098940207.12194,0.0,18704624788.42311,2404947010.356097,121.89944199947573,-5.304533071458278
2001,51018511966.05577,0.0,15954426616.762207,2550925598.3027887,124.33743083946524,6.069929496079694
2002,39755196753.99236,0.0,19053524574.65893,1987759837.6996183,126.82417945625456,-22.076918314585985
2003,50987491608.40941,0.0,23758223259.02556,2549374580.4204707,129.36066304537965,28.25365177771144
2004,49649483750.476425,0.0,23069047260.44934,2482474187.5238214,131.94787630628724,-2.6241884347028845
2005,67825737054.2155,0.0,32378931410.253933,3391286852.7107754,134.586833832413,36.609148637048335
2006,74452862014.89832,0.0,31373279284.616398,3722643100.744916,137.27857050906124,9.770811565800635
2007,58373363295.6014,0.0,28512021711.61699,2918668164.7800703,140.02414191924248,-21.596884638335784
2008,79767917074.78893,0.0,34999537566.15286,3988395853.7394466,142.82462475762733,36.65122681186963
2009,91413080074.92525,0.0,30184261245.87166,4570654003.746263,145.68111725277987,14.598805418496802
2010,76481400420.09947,0.0,26191936228.264034,4588884025.205969,148.59473959783548,-16.334292250723053
2011,62456125518.04386,0.0,24792579510.622013,4371928786.263071,151.5666343897922,-18.338151269481383
2012,93192625997.46892,0.0,29823895256.133347,7455410079.797514,154.59796707758804,49.21294784855833
2013,96962570406.32167,0.0,38380694192.25083,8726631336.56895,157.68992641913982,4.0453247974310145
2014,107037586077.351,0.0,47792905386.640816,10703758607.7351,160.84372494752262,10.390623545570184
2015,66365614401.839874,0.0,22727131978.599445,7300217584.202386,164.06059944647308,-37.997840913676264
2016,157759920899.38797,63017557277.446655,52833694433.1391,18931190507.92656,167.34181143540252,137.7133434554843
2017,245108873861.4574,74276724474.28384,117484961724.24025,31864153601.989464,170.6886476641106,55.368278878497016
2018,192499028792.25647,56631335621.99241,82465481710.84616,26949864030.91591,174.1024206173928,-21.463867970336125
2019,132793223853.73895,72378558780.99951,65712043359.49651,19918983578.060844,177.58446902974066,-31.016159049275814
2020,226912859809.07214,93463258629.51192,81452599075.55334,36306057569.451546,181.13615841033547,70.87683635047402
2021,183856592439.17923,63551192171.29389,59276449047.78307,31255620714.660465,199.24977425136902,-18.974802664829618
2022,255887080057.69946,82750804267.5236,101864954929.985,46059674410.3859,219.17475167650596,39.17753867996238
2023,248074902692.6721,77297057983.05772,114618350196.18774,47134231511.6077,241.09222684415658,-3.0529784322310536
2024,183275561275.0073,57110498424.02548,61959060795.60553,36655112255.00146,265.20144952857225,-26.120877490755905
2025,206864858602.08923,75558859280.32529,72081063681.2086,43441620306.43874,291.72159448142946,12.870945347528306
2026,290448792967.67804,87499654922.41168,122158487438.46277,63898734452.889175,320.8937539295725,40.40509100019013
2027,202258757383.93182,75682798727.9976,73231854873.66,46519514198.30431,352.98312932252975,-30.363367904772204
2028,296657095302.8347,95571794804.79402,89636912497.00845,71197702872.68033,388.2814422547828,46.67206460668301
2029,264359797271.1017,69942357964.93365,102591740850.58685,66089949317.77543,427.1095864802611,-10.887080923772661
2030,308410235029.5956,80633680719.05055,142795565614.8355,80186661107.69485,469.8205451282872,16.66306231628708
2031,273113958207.80463,88399125926.03206,135915991014.3308,73740768716.10725,516.802599641116,-11.444586726638258
2032,224349268436.00104,89151894671.97733,74142705605.60802,62817795162.0803,568.4828596052276,-17.855070495774488
2033,218604714057.52728,77523750789.24904,92010246644.07133,63395367076.68291,625.3311455657505,-2.5605407222945655
2034,207617738042.25565,89243677623.9928,62480756250.91179,62285321412.67669,687.8642601223255,-5.02595566735141
2035,202421030268.30264,117782278505.40585,91082010157.24652,62750519383.17382,756.6506861345582,-2.5030172387753
2036,316493413798.534,104132042816.87335,139209217886.43347,101277892415.53088,832.315754748014,56.35401785033503
